fromID,fromGroupID,fromName,fromIdo,fromKeido,toID,toGroupID,toName,toIdo,toKeido,time,routeID,routeName,r,g,b
1131524,1131524,白丸,139.114861,35.811735,1131525,1131525,奥多摩,139.096961,35.809357,3,11315,JR青梅線,223,100,54
1131601,1131506,拝島,139.343468,35.721278,1131602,1131602,熊川,139.33584,35.728321,1,11316,JR五日市線,223,100,54
1131602,1131602,熊川,139.33584,35.728321,1131603,1131603,東秋留,139.311665,35.725904,3,11316,JR五日市線,223,100,54
1131603,1131603,東秋留,139.311665,35.725904,1131604,1131604,秋川,139.286715,35.727998,4,11316,JR五日市線,223,100,54
1131604,1131604,秋川,139.286715,35.727998,1131605,1131605,武蔵引田,139.269907,35.729711,2,11316,JR五日市線,223,100,54
1131605,1131605,武蔵引田,139.269907,35.729711,1131606,1131606,武蔵増戸,139.256355,35.730961,3,11316,JR五日市線,223,100,54
1131606,1131606,武蔵増戸,139.256355,35.730961,1131607,1131607,武蔵五日市,139.228039,35.732248,4,11316,JR五日市線,223,100,54
1131701,1130620,八王子,139.338998,35.655555,1131702,1131702,北八王子,139.363348,35.669232,3,11317,JR八高線(八王子～高麗川),167,163,158
1131702,1131702,北八王子,139.363348,35.669232,1131703,1131703,小宮,139.368481,35.685799,3,11317,JR八高線(八王子～高麗川),167,163,158
1131703,1131703,小宮,139.368481,35.685799,1131704,1131506,拝島,139.343468,35.721278,6,11317,JR八高線(八王子～高麗川),167,163,158
1131704,1131506,拝島,139.343468,35.721278,1131705,1131705,東福生,139.33594,35.745811,4,11317,JR八高線(八王子～高麗川),167,163,158
1131705,1131705,東福生,139.33594,35.745811,1131706,1131706,箱根ケ崎,139.346805,35.771158,4,11317,JR八高線(八王子～高麗川),167,163,158
1131901,1130220,上野,139.777043,35.71379,1131902,1131902,尾久,139.753846,35.74683,5,11319,JR東北本線,95,175,118
1131902,1131902,尾久,139.753846,35.74683,1131903,1131903,赤羽,139.720928,35.778026,5,11319,JR東北本線,95,175,118
1132001,1130220,上野,139.777043,35.71379,1132002,1130218,日暮里,139.771287,35.727908,3,11320,JR常磐線(上野～取手),80,175,105
1132002,1130218,日暮里,139.771287,35.727908,1132003,1132003,三河島,139.777131,35.733383,3,11320,JR常磐線(上野～取手),80,175,105
1132003,1132003,三河島,139.777131,35.733383,1132004,1132004,南千住,139.7994,35.734033,3,11320,JR常磐線(上野～取手),80,175,105
1132004,1132004,南千住,139.7994,35.734033,1132005,1132005,北千住,139.804872,35.749677,2,11320,JR常磐線(上野～取手),80,175,105
1132005,1132005,北千住,139.804872,35.749677,1132006,1132006,綾瀬,139.825019,35.762222,4,11320,JR常磐線(上野～取手),80,175,105
1132006,1132006,綾瀬,139.825019,35.762222,1132007,1132007,亀有,139.847573,35.766527,2,11320,JR常磐線(上野～取手),80,175,105
1132007,1132007,亀有,139.847573,35.766527,1132008,1132008,金町,139.870482,35.769582,3,11320,JR常磐線(上野～取手),80,175,105
1132101,1130201,大崎,139.728439,35.619772,1132102,1130204,恵比寿,139.71007,35.646685,5,11321,JR埼京線,78,169,154
1132102,1130204,恵比寿,139.71007,35.646685,1132103,1130205,渋谷,139.701238,35.658871,2,11321,JR埼京線,78,169,154
1132103,1130205,渋谷,139.701238,35.658871,1132104,1130208,新宿,139.700464,35.689729,5,11321,JR埼京線,78,169,154
1132104,1130208,新宿,139.700464,35.689729,1132105,1130212,池袋,139.711086,35.730256,9,11321,JR埼京線,78,169,154
1132105,1130212,池袋,139.711086,35.730256,1132106,1132106,板橋,139.719507,35.745435,2,11321,JR埼京線,78,169,154
1132106,1132106,板橋,139.719507,35.745435,1132107,1132107,十条,139.722233,35.760321,3,11321,JR埼京線,78,169,154
1132107,1132107,十条,139.722233,35.760321,1132108,1131903,赤羽,139.720928,35.778026,3,11321,JR埼京線,78,169,154
1132108,1131903,赤羽,139.720928,35.778026,1132109,1132109,北赤羽,139.70569,35.787007,2,11321,JR埼京線,78,169,154
1132109,1132109,北赤羽,139.70569,35.787007,1132110,1132110,浮間舟渡,139.691341,35.791209,2,11321,JR埼京線,78,169,154
1132301,1130220,上野,139.777043,35.71379,1132302,1131902,尾久,139.753846,35.74683,5,11323,JR高崎線,232,144,61
1132302,1131902,尾久,139.753846,35.74683,1132303,1131903,赤羽,139.720928,35.778026,5,11323,JR高崎線,232,144,61
1132601,1130101,東京,139.766103,35.681391,1132602,1132602,八丁堀,139.777705,35.674617,2,11326,JR京葉線,185,54,54
1132602,1132602,八丁堀,139.777705,35.674617,1132603,1132603,越中島,139.792713,35.667946,2,11326,JR京葉線,185,54,54
1132603,1132603,越中島,139.792713,35.667946,1132604,1132604,潮見,139.817341,35.658702,3,11326,JR京葉線,185,54,54
1132604,1132604,潮見,139.817341,35.658702,1132605,1132605,新木場,139.827402,35.646172,2,11326,JR京葉線,185,54,54
1132605,1132605,新木場,139.827402,35.646172,1132606,1132606,葛西臨海公園,139.861529,35.644392,4,11326,JR京葉線,185,54,54
1132805,1130212,池袋,139.711086,35.730256,1132806,1130208,新宿,139.700464,35.689729,6,11328,JR成田エクスプレス,185,54,54
1132806,1130208,新宿,139.700464,35.689729,1132807,1130205,渋谷,139.701238,35.658871,5,11328,JR成田エクスプレス,185,54,54
1132807,1130205,渋谷,139.701238,35.658871,1132808,1130103,品川,139.738999,35.62876,12,11328,JR成田エクスプレス,185,54,54
1132808,1130103,品川,139.738999,35.62876,1132809,1130101,東京,139.766103,35.681391,8,11328,JR成田エクスプレス,185,54,54
1132815,1131112,高尾,139.282288,35.642026,1132816,1130620,八王子,139.338998,35.655555,7,11328,JR成田エクスプレス,185,54,54
1132816,1130620,八王子,139.338998,35.655555,1132817,1130325,立川,139.413704,35.698202,11,11328,JR成田エクスプレス,185,54,54
