fromID,fromGroupID,fromName,toID,toGroupID,toName,time,routeID,routeName
2100208,2100208,牛田,2100209,1132005,北千住,2,21002,東武伊勢崎線
2100209,1132005,北千住,2100210,2100210,小菅,2,21002,東武伊勢崎線
2100210,2100210,小菅,2100211,2100211,五反野,2,21002,東武伊勢崎線
2100211,2100211,五反野,2100212,2100212,梅島,2,21002,東武伊勢崎線
2100212,2100212,梅島,2100213,2100213,西新井,1,21002,東武伊勢崎線
2100213,2100213,西新井,2100214,2100214,竹ノ塚,3,21002,東武伊勢崎線
2100501,2100204,曳舟,2100502,2100502,小村井,2,21005,東武亀戸線
2100502,2100502,小村井,2100503,2100503,東あずま,1,21005,東武亀戸線
2100503,2100503,東あずま,2100504,2100504,亀戸水神,2,21005,東武亀戸線
2100504,2100504,亀戸水神,2100505,1131323,亀戸,2,21005,東武亀戸線
2100601,2100213,西新井,2100602,2100602,大師前,2,21006,東武大師線
2200101,1130212,池袋,2200102,2200102,椎名町,3,22001,西武池袋線
2200102,2200102,椎名町,2200103,2200103,東長崎,1,22001,西武池袋線
2200103,2200103,東長崎,2200104,2200104,江古田,1,22001,西武池袋線
2200104,2200104,江古田,2200105,2200105,桜台,1,22001,西武池袋線
2200105,2200105,桜台,2200106,2200106,練馬,1,22001,西武池袋線
2200106,2200106,練馬,2200107,2200107,中村橋,2,22001,西武池袋線
2200107,2200107,中村橋,2200108,2200108,富士見台,1,22001,西武池袋線
2200108,2200108,富士見台,2200109,2200109,練馬高野台,2,22001,西武池袋線
2200109,2200109,練馬高野台,2200110,2200110,石神井公園,2,22001,西武池袋線
2200110,2200110,石神井公園,2200111,2200111,大泉学園,2,22001,西武池袋線
2200111,2200111,大泉学園,2200112,2200112,保谷,2,22001,西武池袋線
2200112,2200112,保谷,2200113,2200113,ひばりヶ丘,2,22001,西武池袋線
2200113,2200113,ひばりヶ丘,2200114,2200114,東久留米,2,22001,西武池袋線
2200114,2200114,東久留米,2200115,2200115,清瀬,2,22001,西武池袋線
2200115,2200115,清瀬,2200116,2200116,秋津,2,22001,西武池袋線
2200301,2200301,小竹向原,2200302,2200302,新桜台,2,22003,西武有楽町線
2200302,2200302,新桜台,2200303,2200106,練馬,2,22003,西武有楽町線
2200401,2200106,練馬,2200402,2200402,豊島園,3,22004,西武豊島線
2200701,2200701,西武新宿,2200702,1130210,高田馬場,3,22007,西武新宿線
2200702,1130210,高田馬場,2200703,2200703,下落合,2,22007,西武新宿線
2200703,2200703,下落合,2200704,2200704,中井,1,22007,西武新宿線
2200704,2200704,中井,2200705,2200705,新井薬師前,2,22007,西武新宿線
2200705,2200705,新井薬師前,2200706,2200706,沼袋,2,22007,西武新宿線
2200706,2200706,沼袋,2200707,2200707,野方,2,22007,西武新宿線
2200707,2200707,野方,2200708,2200708,都立家政,1,22007,西武新宿線
2200708,2200708,都立家政,2200709,2200709,鷺ノ宮,2,22007,西武新宿線
2200709,2200709,鷺ノ宮,2200710,2200710,下井草,1,22007,西武新宿線
2200710,2200710,下井草,2200711,2200711,井荻,1,22007,西武新宿線
2200711,2200711,井荻,2200712,2200712,上井草,2,22007,西武新宿線
2200712,2200712,上井草,2200713,2200713,上石神井,1,22007,西武新宿線
2200713,2200713,上石神井,2200714,2200714,武蔵関,1,22007,西武新宿線
2200714,2200714,武蔵関,2200715,2200715,東伏見,1,22007,西武新宿線
2200715,2200715,東伏見,2200716,2200716,西武柳沢,2,22007,西武新宿線
2200716,2200716,西武柳沢,2200717,2200717,田無,2,22007,西武新宿線
2200717,2200717,田無,2200718,2200718,花小金井,3,22007,西武新宿線
2200718,2200718,花小金井,2200719,2200719,小平,3,22007,西武新宿線
2200719,2200719,小平,2200720,2200720,久米川,2,22007,西武新宿線
2200720,2200720,久米川,2200721,2200721,東村山,2,22007,西武新宿線
2200801,2200719,小平,2200802,2200802,萩山,2,22008,西武拝島線
2200802,2200802,萩山,2200803,2200803,小川,2,22008,西武拝島線
2200803,2200803,小川,2200804,2200804,東大和市,3,22008,西武拝島線
2200804,2200804,東大和市,2200805,2200805,玉川上水,2,22008,西武拝島線
2200805,2200805,玉川上水,2200806,2200806,武蔵砂川,3,22008,西武拝島線
2200806,2200806,武蔵砂川,2200807,2200807,西武立川,2,22008,西武拝島線
2200807,2200807,西武立川,2200808,1131506,拝島,4,22008,西武拝島線
2200901,2200721,東村山,2200902,2200902,西武園,3,22009,西武西武園線
2201001,1131106,国分寺,2201002,2201002,恋ヶ窪,3,22010,西武国分寺線
2201002,2201002,恋ヶ窪,2201003,2201003,鷹の台,2,22010,西武国分寺線
2201003,2201003,鷹の台,2201004,2200803,小川,2,22010,西武国分寺線
2201004,2200803,小川,2201005,2200721,東村山,3,22010,西武国分寺線
2201101,1131106,国分寺,2201102,2201102,一橋学園,3,22011,西武多摩湖線
2201102,2201102,一橋学園,2201103,2201103,青梅街道,1,22011,西武多摩湖線
2201103,2201103,青梅街道,2201105,2200802,萩山,2,22011,西武多摩湖線
2201105,2200802,萩山,2201106,2201106,八坂,1,22011,西武多摩湖線
2201106,2201106,八坂,2201107,2201107,武蔵大和,3,22011,西武多摩湖線
2201107,2201107,武蔵大和,2201108,2200601,多摩湖,2,22011,西武多摩湖線
2201201,1131221,武蔵境,2201202,2201202,新小金井,2,22012,西武多摩川線
2201202,2201202,新小金井,2201203,2201203,多磨,3,22012,西武多摩川線
2201203,2201203,多磨,2201204,2201204,白糸台,2,22012,西武多摩川線
2201204,2201204,白糸台,2201205,2201205,競艇場前,2,22012,西武多摩川線
2201205,2201205,競艇場前,2201206,2201206,是政,2,22012,西武多摩川線
2300101,2300101,京成上野,2300102,1130218,日暮里,5,23001,京成本線
2300102,1130218,日暮里,2300103,2300103,新三河島,2,23001,京成本線
2300103,2300103,新三河島,2300104,2300104,町屋,6,23001,京成本線
2300104,2300104,町屋,2300105,2300105,千住大橋,6,23001,京成本線
2300105,2300105,千住大橋,2300106,2100208,京成関屋,2,23001,京成本線
2300106,2100208,京成関屋,2300107,2300107,堀切菖蒲園,2,23001,京成本線
2300107,2300107,堀切菖蒲園,2300108,2300108,お花茶屋,1,23001,京成本線
2300108,2300108,お花茶屋,2300109,2300109,青砥,3,23001,京成本線
2300109,2300109,青砥,2300110,2300110,京成高砂,2,23001,京成本線
2300110,2300110,京成高砂,2300111,2300111,京成小岩,2,23001,京成本線
2300111,2300111,京成小岩,2300112,2300112,江戸川,1,23001,京成本線
2300201,2100203,押上（スカイツリー前）,2300202,2300202,京成曳舟,11,23002,京成押上線
2300202,2300202,京成曳舟,2300203,2300203,八広,2,23002,京成押上線
2300203,2300203,八広,2300204,2300204,四ツ木,1,23002,京成押上線
2300204,2300204,四ツ木,2300205,2300205,京成立石,2,23002,京成押上線
2300205,2300205,京成立石,2300206,2300109,青砥,2,23002,京成押上線
2300206,2300109,青砥,2300207,2300110,京成高砂,2,23002,京成押上線
2300301,2300110,京成高砂,2300302,2300302,柴又,3,23003,京成金町線
2300302,2300302,柴又,2300303,1132008,京成金町,2,23003,京成金町線
2300601,2300101,京成上野,2300602,1130218,日暮里,5,23006,京成成田空港線
2300602,1130218,日暮里,2300603,2300109,青砥,17,23006,京成成田空港線
2300603,2300109,青砥,2300604,2300110,京成高砂,2,23006,京成成田空港線
2400101,1130208,新宿,2400104,2400104,笹塚,5,24001,京王線
2400104,2400104,笹塚,2400105,2400105,代田橋,1,24001,京王線
2400105,2400105,代田橋,2400106,2400106,明大前,1,24001,京王線
2400106,2400106,明大前,2400107,2400107,下高井戸,2,24001,京王線
2400107,2400107,下高井戸,2400108,2400108,桜上水,1,24001,京王線
2400108,2400108,桜上水,2400109,2400109,上北沢,1,24001,京王線
2400109,2400109,上北沢,2400110,2400110,八幡山,2,24001,京王線
2400110,2400110,八幡山,2400111,2400111,芦花公園,1,24001,京王線
2400111,2400111,芦花公園,2400112,2400112,千歳烏山,1,24001,京王線
